	Length
AT3G19310	1327
AT3G19320	1482
AT3G19323	342
AT3G19330	1515
AT3G19340	1733
AT3G19350	543
AT3G19360	1383
AT3G19370	2470
AT3G19380	1708
AT3G19390	1653
AT3G19400	1307
AT3G19410	1122
AT3G19420	2338
AT3G19430	1878
AT3G19440	1638
AT3G19450	1568
AT3G19460	1517
AT3G19470	1433
AT3G19480	1961
AT3G19490	2125
AT3G19500	1132
AT3G19508	521
AT3G19510	2769
AT3G19515	2713
AT3G19520	1419
AT3G19530	632
AT3G19540	2134
AT3G19550	681
AT3G19553	1912
AT3G19560	1267
AT3G19570	2639
AT3G19580	1162
AT3G19590	1409
AT3G19595	924
AT3G19600	950
AT3G19610	1982
AT3G19615	438
AT3G19620	2346
AT3G19630	1477
AT3G19640	1700
AT3G19650	1031
AT3G19660	486
AT3G19663	144
AT3G19670	3159
AT3G19680	1856
AT3G19690	637
AT3G19700	3460
AT3G19710	1366
AT3G19720	2786
AT3G19740	3322
AT3G19760	1655
AT3G19770	2038
AT3G19780	3418
AT3G19790	1004
AT3G19800	935
AT3G19810	1399
AT3G19820	2070
AT3G19830	2551
AT3G19840	2779
AT3G19850	1965
AT3G19860	1367
AT3G19870	3477
AT3G19880	1170
AT3G19890	1233
AT3G19895	2246
AT3G19900	1087
AT3G19910	1455
AT3G19920	1415
AT3G19930	2099
AT3G19940	1545
AT3G19950	1313
AT3G19960	4209
AT3G19970	1851
AT3G19980	1531
AT3G19990	1448
AT3G20000	1352
AT3G20010	3399
AT3G20015	1892
AT3G20020	1812
AT3G20030	1209
AT3G20040	2039
AT3G20050	2082
AT3G20060	843
AT3G20070	1420
AT3G20075	338
AT3G20080	4156
AT3G20083	1583
AT3G20085.1	176
AT3G20087	763
AT3G20090	1720
AT3G20100	1813
AT3G20110	1862
AT3G20120	1745
AT3G20130	1824
AT3G20140	1533
AT3G20150	3882
AT3G20155	882
AT3G20160	1035
AT3G20170	1615
AT3G20180	357
AT3G20190	2272
AT3G20200	2854
AT3G20210	2081
AT3G20220	629
AT3G20230	929
AT3G20240	1403
AT3G20250	3213
AT3G20260	2202
AT3G20270	3294
AT3G20280	2815
AT3G20290	2053
AT3G20300	1686
AT3G20310	2000
AT3G20320	1565
AT3G20330	1741
AT3G20340	602
AT3G20350	2671
AT3G20360	1320
AT3G20362	144
AT3G20365	84
AT3G20370	1396
AT3G20380	1358
AT3G20390	971
AT3G20395	822
AT3G20400	312
AT3G20410	2110
AT3G20420	1289
AT3G20430	1041
AT3G20440	3240
AT3G20450	545
AT3G20460	1470
AT3G20470	789
AT3G20475	2719
AT3G20480	1458
AT3G20490	1833
AT3G20500	1507
AT3G20510	782
AT3G20520	2324
AT3G20530	1555
AT3G20540	3539
AT3G20541	495
AT3G20550	1281
AT3G20555	333
AT3G20557	931
AT3G20560	1776
AT3G20570	912
AT3G20580	2372
AT3G20590	768
AT3G20600	891
AT3G20610	669
AT3G20620	1751
AT3G20630	2684
AT3G20640	1712
AT3G20650	1633
AT3G20655	73
AT3G20660	1802
AT3G20670	647
AT3G20680	1127
AT3G20690	1113
AT3G20700	981
AT3G20705	1137
AT3G20710	1089
AT3G20720	4041
AT3G20730	1962
AT3G20740	1563
AT3G20750	715
AT3G20760	2442
AT3G20770	2413
AT3G20780	2212
AT3G20790	1306
AT3G20800	1276
AT3G20810	1665
AT3G20820	1300
AT3G20830	1298
AT3G20840	2137
AT3G20850	405
AT3G20860	1284
AT3G20865	459
AT3G20870	1327
AT3G20880	1551
AT3G20885	82
AT3G20890	970
AT3G20898	871
AT3G20900	207
AT3G20910	1232
AT3G20920	1338
AT3G20930	1423
AT3G20935	1047
AT3G20940	1724
AT3G20950	1581
AT3G20960	1583
AT3G20966	150
AT3G20970	1172
AT3G20975.1	4756
AT3G20978	932
AT3G20980	1218
AT3G20990.1	1315
AT3G20993	234
AT3G20997	231
AT3G21000	1218
AT3G21010.1	1539
AT3G21020.1	1260
AT3G21030.1	1236
AT3G21040.1	1605
AT3G21050.1	1263
AT3G21055	552
AT3G21060	2303
AT3G21070	1942
AT3G21080	1054
AT3G21090	2243
AT3G21100	2335
AT3G21110	1710
AT3G21120	1104
AT3G21130	1104
AT3G21140	1557
AT3G21150	904
AT3G21160	2083
AT3G21170	1185
AT3G21175	1505
AT3G21180	3771
AT3G21190	1671
AT3G21200	1185
AT3G21210	2762
AT3G21215	2130
AT3G21220	1595
AT3G21230	1957
AT3G21240	1964
AT3G21250	4894
AT3G21260	935
AT3G21270	1079
AT3G21280	1811
AT3G21290	4025
AT3G21295	2643
AT3G21300	1912
AT3G21310	1584
AT3G21320	2419
AT3G21330	1803
AT3G21338	153
AT3G21340	2761
AT3G21350	1090
AT3G21351	456
AT3G21352	282
AT3G21360	1598
AT3G21370	1889
AT3G21371	207
AT3G21380	1662
AT3G21390	1357
AT3G21400	974
AT3G21410	1233
AT3G21420	1494
AT3G21430	3739
AT3G21450	813
AT3G21460	575
AT3G21465	1576
AT3G21470	1572
AT3G21475	72
AT3G21480	3297
AT3G21481	252
AT3G21490	411
AT3G21500	2228
AT3G21510	784
AT3G21520	835
AT3G21530	1600
AT3G21540	3022
AT3G21550	840
AT3G21560	1772
AT3G21570	734
AT3G21580	1381
AT3G21590	682
AT3G21600	1400
AT3G21610	883
AT3G21620	2544
AT3G21630	2063
AT3G21640	1342
AT3G21650	2338
AT3G21660	1308
AT3G21670	2155
AT3G21680	360
AT3G21690	1952
AT3G21700	1410
AT3G21710	1227
AT3G21720	2171
AT3G21730	741
AT3G21740	1326
AT3G21750	1851
AT3G21755	1678
AT3G21760	1698
AT3G21770	1237
AT3G21780	1491
AT3G21781	331
AT3G21790	1488
AT3G21791	557
AT3G21800	1580
AT3G21805	91
AT3G21810	1840
AT3G21820	1677
AT3G21830	459
AT3G21840	709
AT3G21850	462
AT3G21860	459
AT3G21865	1302
AT3G21870	710
AT3G21880	1095
AT3G21890	621
AT3G21900	753
AT3G21910	837
AT3G21920	893
AT3G21930	903
AT3G21933	984
AT3G21937	980
AT3G21940	828
AT3G21945	473
AT3G21950	1300
AT3G21960	1369
AT3G21965	914
AT3G21970	916
AT3G21980	678
AT3G21985	1185
AT3G21990	937
AT3G22000	822
AT3G22010	792
AT3G22020	624
AT3G22022	204
AT3G22030	762
AT3G22040	774
AT3G22050	777
AT3G22053	677
AT3G22057	525
AT3G22060	1011
AT3G22070	781
AT3G22072	783
AT3G22080	1947
AT3G22090	542
AT3G22100	759
AT3G22104	2160
AT3G22110	1039
AT3G22120	1354
AT3G22121	698
AT3G22133.1	959
AT3G22136.1	665
AT3G22142	4443
AT3G22150	2985
AT3G22160	1129
AT3G22170	3208
AT3G22180	2580
AT3G22183	243
AT3G22190	1984
AT3G22200	2053
AT3G22210	597
AT3G22220	2760
AT3G22230	631
AT3G22231	545
AT3G22232	449
AT3G22234	574
AT3G22235	687
AT3G22237	455
AT3G22238	574
AT3G22240	535
AT3G22250	1615
AT3G22260	1164
AT3G22270	3295
AT3G22275	657
AT3G22290	1597
AT3G22300	1002
AT3G22310	2142
AT3G22320	942
AT3G22330	2176
AT3G22340.1	915
AT3G22345	1300
AT3G22350	1137
AT3G22360	978
AT3G22370	1488
AT3G22380	5560
AT3G22400	2977
AT3G22410	1508
AT3G22415	382
AT3G22420	2148
AT3G22421	1281
AT3G22425	1347
AT3G22430	2007
AT3G22436	123
AT3G22440	2013
AT3G22450	936
AT3G22460	1157
AT3G22470	2037
AT3G22480	780
AT3G22490	998
AT3G22492	428
AT3G22500	1108
AT3G22510	695
AT3G22520	2070
AT3G22530	1032
AT3G22540	552
AT3G22550	1483
AT3G22555	1151
AT3G22560	677
AT3G22570	724
AT3G22580	384
AT3G22590	1440
AT3G22600	790
AT3G22620	868
AT3G22630	854
AT3G22640	1658
AT3G22650	1119
AT3G22660	1180
AT3G22670	1689
AT3G22680	703
AT3G22690	3167
AT3G22700	1017
AT3G22710	981
AT3G22720	1137
AT3G22723	156
AT3G22730	1119
AT3G22740	1384
AT3G22750	2092
AT3G22760	2146
AT3G22770	984
AT3G22780	2415
AT3G22790	5537
AT3G22800	1669
AT3G22810	1498
AT3G22820	581
AT3G22830	1538
AT3G22840	884
AT3G22845	908
AT3G22850	1006
AT3G22860	2418
AT3G22870	1242
AT3G22880	1376
AT3G22886	602
AT3G22890	1764
AT3G22900	712
AT3G22910	3054
AT3G22920	699
AT3G22930	821
AT3G22937	639
AT3G22940	1239
AT3G22942	1125
AT3G22945	208
AT3G22950	990
AT3G22955.1	469
AT3G22960	2139
AT3G22961	672
AT3G22968	1935
AT3G22970	1935
AT3G22980	3161
AT3G22990	1648
AT3G23000	1535
AT3G23010	1788
AT3G23020	2529
AT3G23030	941
AT3G23040	177
AT3G23050	1562
AT3G23060	1792
AT3G23070	2901
AT3G23080	1710
AT3G23085.1	1392
AT3G23090	1365
AT3G23100	1246
AT3G23109	213
AT3G23110	2508
AT3G23120	2355
AT3G23125	86
AT3G23130	1071
AT3G23140	519
AT3G23145	477
AT3G23150	2893
AT3G23160	2174
AT3G23165	234
AT3G23167	234
AT3G23170	794
AT3G23171	144
AT3G23172	270
AT3G23175	942
AT3G23180	748
AT3G23190	1056
AT3G23200	930
AT3G23210	1294
AT3G23220	439
AT3G23230	420
AT3G23240	961
AT3G23245	354
AT3G23250	1422
AT3G23255	929
AT3G23260	1089
AT3G23270	3138
AT3G23280	1946
AT3G23290	843
AT3G23300	2335
AT3G23310	2487
AT3G23320	576
AT3G23325	507
AT3G23326	247
AT3G23330	2148
AT3G23340	1741
AT3G23350	846
AT3G23360	783
AT3G23370	2537
AT3G23380	582
AT3G23390	541
AT3G23400	1127
AT3G23410	2420
AT3G23420	858
AT3G23430	2713
AT3G23440	327
AT3G23450	1761
AT3G23460	918
AT3G23470	1467
AT3G23480	1760
AT3G23490	971
AT3G23510	3062
AT3G23530	3177
AT3G23540	2286
AT3G23550	1620
AT3G23560	1772
AT3G23570	1077
AT3G23580	1483
AT3G23590	4277
AT3G23600	1011
AT3G23605	822
AT3G23610	1091
AT3G23620	1351
AT3G23630	1516
AT3G23633	842
AT3G23635	132
AT3G23637	162
AT3G23640	3430
AT3G23645	404
AT3G23650	405
AT3G23660	2646
AT3G23670	4302
AT3G23680	708
AT3G23685	993
AT3G23690	1774
AT3G23700	1485
AT3G23710	1197
AT3G23715	288
AT3G23720.1	246
AT3G23725.1	4542
AT3G23727	279
AT3G23730	1075
AT3G23740	2021
AT3G23750	2952
AT3G23760	751
AT3G23770	1793
AT3G23780	3993
AT3G23790	2381
AT3G23800	1621
AT3G23805	675
AT3G23810	1849
AT3G23820	2019
AT3G23830	820
AT3G23840	1445
AT3G23850	225
AT3G23860	693
AT3G23870	1553
AT3G23880	1177
AT3G23890	4824
AT3G23900	3499
AT3G23910	1531
AT3G23920	2131
AT3G23930	944
AT3G23940	2215
AT3G23950	1257
AT3G23955	1618
AT3G23960	1209
AT3G23970	1242
AT3G23980	2842
AT3G23990	2129
AT3G24000	1998
AT3G24005	487
AT3G24010	903
AT3G24020	919
AT3G24030	1153
AT3G24040	1573
AT3G24050	1227
AT3G24060	444
AT3G24065	408
AT3G24068	486
AT3G24070	1625
AT3G24080	2220
AT3G24090	2034
AT3G24093	1145
AT3G24100	480
AT3G24110	690
AT3G24120	1353
AT3G24130	1071
AT3G24140	1729
AT3G24150	1472
AT3G24160	1580
AT3G24170	2100
AT3G24180	3626
AT3G24190	2646
AT3G24200	2058
AT3G24210	2329
AT3G24216	102
AT3G24220	1739
AT3G24225	327
AT3G24230	1481
AT3G24240	3771
AT3G24250	703
AT3G24255	2849
AT3G24260	1125
AT3G24270	414
AT3G24280	468
AT3G24290	1491
AT3G24300	1758
AT3G24310	1049
AT3G24315	1186
AT3G24320	3730
AT3G24330	1503
AT3G24332	1402
AT3G24340	3399
AT3G24350	1511
AT3G24360	1446
AT3G24365.1	4402
AT3G24370.1	564
AT3G24380.1	693
AT3G24385.1	692
AT3G24390.1	3420
AT3G24400	3339
AT3G24420	1124
AT3G24430	1794
AT3G24440	1989
AT3G24450	755
AT3G24460	1976
AT3G24465	264
AT3G24480	1485
AT3G24490	1427
AT3G24495	3465
AT3G24500	744
AT3G24503	1722
AT3G24506	695
AT3G24508	252
AT3G24510	373
AT3G24513	258
AT3G24515	1399
AT3G24516	189
AT3G24517	492
AT3G24518	1990
AT3G24520	1725
AT3G24530	1851
AT3G24535	567
AT3G24540	1530
AT3G24542	961
AT3G24550	2377
AT3G24560	2220
AT3G24570	989
AT3G24580	1137
AT3G24590	1046
AT3G24600	1521
AT3G24610	1338
AT3G24612	87
AT3G24614	140
AT3G24615	102
AT3G24620	1572
AT3G24630	2489
AT3G24640	435
AT3G24650	2987
AT3G24660	2282
AT3G24670	1589
AT3G24675.1	4152
AT3G24680.1	1464
AT3G24690	765
AT3G24700	750
AT3G24710	201
AT3G24715	3354
AT3G24730	626
AT3G24740	1813
AT3G24750	970
AT3G24760	1444
AT3G24770	931
AT3G24780	2148
AT3G24790	1106
AT3G24800	1580
AT3G24810	920
AT3G24820	832
AT3G24830	920
AT3G24840	2260
AT3G24850	1080
AT3G24860	1060
AT3G24870	6405
AT3G24880	6089
AT3G24890	663
AT3G24900	2655
AT3G24927	903
AT3G24929	642
AT3G24982	2905
AT3G25010	2646
AT3G25011	114
AT3G25013	791
AT3G25014	162
AT3G25020	2673
AT3G25030	1115
AT3G25040	1070
AT3G25050	1092
AT3G25060	1806
AT3G25070	1067
AT3G25080	976
AT3G25090	1056
AT3G25099	108
AT3G25100	2211
AT3G25110	1620
AT3G25120	866
AT3G25130	1468
AT3G25140	1920
AT3G25150	2027
AT3G25160	1032
AT3G25165	554
AT3G25170	510
AT3G25180	1826
AT3G25182	1026
AT3G25190	870
AT3G25200	507
AT3G25210	1492
AT3G25220	753
AT3G25221	105
AT3G25225	1202
AT3G25230	2014
AT3G25233	93
AT3G25240	846
AT3G25250	1504
AT3G25260	1940
AT3G25265	246
AT3G25270	1032
AT3G25280	1566
AT3G25290	1446
AT3G25400	643
AT3G25410	1681
AT3G25420	1607
AT3G25430	1945
AT3G25440	1571
AT3G25450.1	4146
AT3G25460	1086
AT3G25470	1217
AT3G25480	1122
AT3G25485.1	3662
AT3G25490	1674
AT3G25495	6444
AT3G25500	3559
AT3G25510	5946
AT3G25520	1259
AT3G25530	1120
AT3G25540	1682
AT3G25545	1147
AT3G25550	540
AT3G25560	2380
AT3G25570	1785
AT3G25572	1700
AT3G25573	498
AT3G25577	407
AT3G25580	904
AT3G25585	1914
AT3G25590	1606
AT3G25597	845
AT3G25600	714
AT3G25610	3609
AT3G25620	2909
AT3G25630.1	810
AT3G25640	1086
AT3G25650	534
AT3G25655	534
AT3G25660	1991
AT3G25670	1428
AT3G25680	1927
AT3G25690	3500
AT3G25700	1745
AT3G25710	1412
AT3G25715	74
AT3G25716	296
AT3G25717	570
AT3G25719	153
AT3G25720	849
AT3G25725.1	4754
AT3G25727	462
AT3G25730	1328
AT3G25740	1164
AT3G25750	1047
AT3G25760	999
AT3G25770	980
AT3G25780	1007
AT3G25790	1195
AT3G25795	1155
AT3G25800	2101
AT3G25805	1109
AT3G25810	1835
AT3G25815.1	3471
AT3G25820	2067
AT3G25826.1	2261
AT3G25830	1944
AT3G25840	3589
AT3G25850	777
AT3G25855	554
AT3G25860	1717
AT3G25870	968
AT3G25880	210
AT3G25882	534
AT3G25890	2111
AT3G25900	1366
AT3G25905	604
AT3G25910	1515
AT3G25920	1124
AT3G25930	734
AT3G25940	590
AT3G25950	1170
AT3G25960	1494
AT3G25970	2106
AT3G25980	1088
AT3G25990	1372
AT3G26000	2342
AT3G26010	1416
AT3G26020	2480
AT3G26030	2161
AT3G26040	1330
AT3G26050	2038
AT3G26060	1020
AT3G26070	1303
AT3G26080	1021
AT3G26085	1414
AT3G26090	1734
AT3G26100	2546
AT3G26110	632
AT3G26115	1456
AT3G26120	2056
AT3G26125	1626
AT3G26130	1656
AT3G26134	364
AT3G26140	1587
AT3G26147	168
AT3G26150	1523
AT3G26160	1524
AT3G26165	1424
AT3G26170	1710
AT3G26180	1792
AT3G26190	1536
AT3G26200	1775
AT3G26210	1744
AT3G26220	1642
AT3G26230	1759
AT3G26235	588
AT3G26240	3304
AT3G26250	1473
AT3G26260.1	2970
AT3G26265.1	3532
AT3G26270	1551
AT3G26280	1712
AT3G26290	1622
AT3G26295	1503
AT3G26300	1503
AT3G26310	1503
AT3G26320	1503
AT3G26330	1619
AT3G26340	1113
AT3G26350	1071
AT3G26360	712
AT3G26370	2010
AT3G26380	2172
AT3G26390	501
AT3G26400	1680
AT3G26410	1601
AT3G26420	3033
AT3G26430	3162
AT3G26440	2068
AT3G26445	357
AT3G26450	889
AT3G26460	689
AT3G26470	1454
AT3G26480	2295
AT3G26483.1	4664
AT3G26486.1	316
AT3G26490	1767
AT3G26500	1522
AT3G26510	1862
AT3G26511	99
AT3G26520	1201
AT3G26525.1	3352
AT3G26530.1	3048
AT3G26539	114
AT3G26540	2103
AT3G26550	2152
AT3G26560	3778
AT3G26561	207
AT3G26570	2209
AT3G26580	1294
AT3G26590	1786
AT3G26600	2292
AT3G26605.1	483
AT3G26610	1710
AT3G26612	919
AT3G26614.1	2682
AT3G26616	426
AT3G26618	1581
AT3G26620	371
AT3G26630	1615
AT3G26640	1238
AT3G26650	1543
AT3G26660	383
AT3G26670	2053
AT3G26680	2315
AT3G26690	1091
AT3G26700	2006
AT3G26710	1127
AT3G26720	3316
AT3G26730	2572
AT3G26740	712
AT3G26742	823
AT3G26744	2158
AT3G26747	74
AT3G26750	2104
AT3G26760	1228
AT3G26770	1088
AT3G26775	1434
AT3G26780	1514
AT3G26782	2186
AT3G26790	1380
AT3G26800	606
AT3G26805	827
AT3G26810	2401
AT3G26812	206
AT3G26813	221
AT3G26815	213
AT3G26816	211
AT3G26818	212
AT3G26819	215
AT3G26820	1905
AT3G26830	1660
AT3G26840	2303
AT3G26850	1500
AT3G26855	492
AT3G26860	369
AT3G26870	393
AT3G26872	378
AT3G26880	402
AT3G26890	3003
AT3G26900	1373
AT3G26910	2327
AT3G26920	1801
AT3G26922	1603
AT3G26930	1449
AT3G26932	1676
AT3G26934	621
AT3G26935	2014
AT3G26940	1757
AT3G26950	1780
AT3G26960	836
AT3G26980	985
AT3G26990	1960
AT3G27000	1551
AT3G27010	1420
AT3G27020	2471
AT3G27025	1084
AT3G27027	210
AT3G27030	429
AT3G27040	1077
AT3G27050	803
AT3G27060	1342
AT3G27070	986
AT3G27080	811
AT3G27090	1440
AT3G27095	2210
AT3G27100	745
AT3G27110	1395
AT3G27120	1648
AT3G27130	1101
AT3G27140	738
AT3G27150	1632
AT3G27160	843
AT3G27170	2750
AT3G27180	1890
AT3G27190	1871
AT3G27200	774
AT3G27210	1098
AT3G27220	1495
AT3G27230	1618
AT3G27240	1414
AT3G27250	1187
AT3G27260	3257
AT3G27270	881
AT3G27280	1482
AT3G27283	231
AT3G27290	1895
AT3G27300	2032
AT3G27310	939
AT3G27320	2025
AT3G27321	271
AT3G27325	3718
AT3G27327.1	4075
AT3G27328	153
AT3G27329	369
AT3G27330	2871
AT3G27331	387
AT3G27340	761
AT3G27350	1892
AT3G27360	833
AT3G27380	2526
AT3G27390	2189
AT3G27400	1441
AT3G27410	399
AT3G27415	927
AT3G27416	672
AT3G27420	1004
AT3G27425	318
AT3G27430	1268
AT3G27440	1398
AT3G27450	881
AT3G27460	1322
AT3G27470	1903
AT3G27473	1989
AT3G27480	2143
AT3G27490	2049
AT3G27500	2249
AT3G27503	530
AT3G27510	2123
AT3G27520	999
AT3G27530	3148
AT3G27540	1772
AT3G27550	1705
AT3G27555	72
AT3G27560	1734
AT3G27570	1475
AT3G27580	2483
AT3G27590	588
AT3G27600	942
AT3G27610	1417
AT3G27620	1341
AT3G27630	303
AT3G27640	1821
AT3G27650	930
AT3G27660	874
AT3G27670	5865
AT3G27680	405
AT3G27690	946
AT3G27700	3689
AT3G27710	1860
AT3G27720	1482
AT3G27730	3702
AT3G27740	1576
AT3G27750	1067
AT3G27770	1324
AT3G27785	1700
AT3G27800	177
AT3G27809	450
AT3G27810	1071
AT3G27820	1777
AT3G27825	72
AT3G27830	928
AT3G27831	234
AT3G27835	240
AT3G27840	597
AT3G27845	72
AT3G27850	875
AT3G27860	1959
AT3G27865	92
AT3G27870	3587
AT3G27880	1225
AT3G27883.1	5382
AT3G27884	738
AT3G27886.1	889
AT3G27890	837
AT3G27895.1	274
AT3G27900	735
AT3G27906	925
AT3G27910	885
AT3G27920	687
AT3G27925	1649
AT3G27930	1695
AT3G27940	740
AT3G27950	1211
AT3G27960	2409
AT3G27965.1	575
AT3G27968	171
AT3G27970	1074
AT3G27980	1494
AT3G27990	1527
AT3G27997	1250
AT3G27999	640
AT3G28005.1	771
AT3G28007	1019
AT3G28010.1	786
AT3G28020	741
AT3G28030	4534
AT3G28040	3256
AT3G28050	1456
AT3G28060	648
AT3G28070	1514
AT3G28080	1354
AT3G28100	1266
AT3G28110.1	1065
AT3G28120	207
AT3G28130	1488
AT3G28140	978
AT3G28150	1382
AT3G28153.1	5494
AT3G28155	309
AT3G28157.1	528
AT3G28160.1	2136
AT3G28170	624
AT3G28180	2475
AT3G28190	339
AT3G28193	129
AT3G28200	1097
AT3G28210	946
AT3G28216	147
AT3G28220	1360
AT3G28223	1408
AT3G28230	624
AT3G28240.1	827
AT3G28243	114
AT3G28250	366
AT3G28260	174
AT3G28270	1920
AT3G28280	837
AT3G28290	1575
AT3G28291	180
AT3G28295.1	510
AT3G28300	1575
AT3G28310	312
AT3G28315.1	4002
AT3G28320	1297
AT3G28321	144
AT3G28330	1050
AT3G28340	1606
AT3G28345	3891
AT3G28350	1015
AT3G28360	3794
AT3G28370	879
AT3G28380	3723
AT3G28390	3678
AT3G28400.1	2028
AT3G28410	1398
AT3G28412.1	1557
AT3G28415	3666
AT3G28420	919
AT3G28430	3286
AT3G28440	129
AT3G28450	2116
AT3G28455	810
AT3G28460	1503
AT3G28470	1025
AT3G28480	1373
AT3G28490	968
AT3G28500	635
AT3G28510	1841
AT3G28520	1437
AT3G28530	78
AT3G28540	1680
AT3G28550	3223
AT3G28560	1384
AT3G28570	1356
AT3G28580	1707
AT3G28590	240
AT3G28600	1559
AT3G28610	1425
AT3G28611	432
AT3G28620	636
AT3G28630	1407
AT3G28640	1515
AT3G28650	1998
AT3G28660	2142
AT3G28670	1827
AT3G28674	177
AT3G28680	601
AT3G28685	73
AT3G28690	2468
AT3G28695	73
AT3G28700	1717
AT3G28705.1	5297
AT3G28710	1430
AT3G28715	1527
AT3G28720	2172
AT3G28730	2237
AT3G28740	1597
AT3G28750	1254
AT3G28760	1514
AT3G28770	6246
AT3G28780	2334
AT3G28790	2184
AT3G28800.1	1061
AT3G28810	1305
AT3G28820	1372
AT3G28830	1949
AT3G28840	1448
AT3G28850	1454
AT3G28855.1	688
AT3G28857	739
AT3G28860	4228
AT3G28865.1	9302
AT3G28870	1068
AT3G28880	2498
AT3G28890	2474
AT3G28899	189
AT3G28900	623
AT3G28910	1592
AT3G28915.1	5080
AT3G28917	824
AT3G28918	93
AT3G28920	1388
AT3G28923	507
AT3G28925	744
AT3G28930	797
AT3G28940	810
AT3G28945.1	5675
AT3G28950	871
AT3G28955.1	868
AT3G28956	657
AT3G28958	528
AT3G28960	1218
AT3G28970	1210
AT3G28980	1628
AT3G28985	313
AT3G28990	293
AT3G29000	636
AT3G29010	812
AT3G29020	1187
AT3G29030	1288
AT3G29032.1	4692
AT3G29033	504
AT3G29034	570
AT3G29035	1433
AT3G29036	111
AT3G29037	403
AT3G29040	768
AT3G29050	723
AT3G29060	2403
AT3G29070	741
AT3G29075	1106
AT3G29076.1	4907
AT3G29077	392
AT3G29078.1	3646
AT3G29080	1338
AT3G29090	1198
AT3G29095	72
AT3G29100	1364
AT3G29105	536
AT3G29110	1713
AT3G29120.1	694
AT3G29130	847
AT3G29140	297
AT3G29150	882
AT3G29152	440
AT3G29153.1	4501
AT3G29156.1	4725
AT3G29160	2078
AT3G29170	703
AT3G29175.1	5149
AT3G29180	2034
AT3G29185	1484
AT3G29187.1	1007
AT3G29190	1806
AT3G29195	168
AT3G29200	1370
AT3G29205.1	4902
AT3G29210.1	1785
AT3G29220.1	594
AT3G29225.1	1178
AT3G29230	1803
AT3G29240	1361
AT3G29250	1050
AT3G29252	250
AT3G29255	2121
AT3G29260	812
AT3G29265.1	711
AT3G29270	2217
AT3G29280	680
AT3G29290	2095
AT3G29300	642
AT3G29305	381
AT3G29310	2084
AT3G29320	3180
AT3G29330	765
AT3G29340	1953
AT3G29350	882
AT3G29360	1794
AT3G29365	841
AT3G29370	520
AT3G29375	1336
AT3G29380	1011
AT3G29385	657
AT3G29390	2049
AT3G29400	2338
AT3G29410	2031
AT3G29420	159
AT3G29430	1333
AT3G29431	138
AT3G29440.1	406
AT3G29450	1569
AT3G29460.1	1398
AT3G29470.1	525
AT3G29480.1	3805
AT3G29510.1	4653
AT3G29515.1	4330
AT3G29520	474
AT3G29525.1	420
AT3G29540.1	409
AT3G29545.1	148
AT3G29550.1	1320
AT3G29560	363
AT3G29570	984
AT3G29572.1	1343
AT3G29575	1245
AT3G29577.1	2410
AT3G29578.1	1290
AT3G29580	921
AT3G29590	1350
AT3G29595.1	1207
AT3G29600.1	495
AT3G29610.1	420
AT3G29612.1	1793
AT3G29615.1	8174
AT3G29618.1	1355
AT3G29620.1	669
AT3G29630	1582
AT3G29632.1	513
AT3G29633	96
AT3G29634.1	7191
AT3G29635	1377
AT3G29636	600
AT3G29638	1239
AT3G29639	562
AT3G29640.1	516
AT3G29641.1	3223
AT3G29642.1	1462
AT3G29643.1	3701
AT3G29644	785
AT3G29647.1	525
AT3G29648.1	2831
AT3G29650.1	3616
AT3G29660.1	1179
AT3G29670	1479
AT3G29680	1384
AT3G29690	543
AT3G29695.1	2445
AT3G29700.1	399
AT3G29710.1	2010
AT3G29720	663
AT3G29725	1358
AT3G29727.1	1792
AT3G29730.1	2579
AT3G29732.1	3845
AT3G29734.1	2847
AT3G29736.1	1647
AT3G29738.1	207
AT3G29739.1	1434
AT3G29740	264
AT3G29750	1266
AT3G29755.1	3936
AT3G29760	1862
AT3G29762	268
AT3G29763	1518
AT3G29764	327
AT3G29765	1611
AT3G29766.1	2417
AT3G29767.1	2672
AT3G29768.1	2542
AT3G29769.1	3039
AT3G29770	1577
AT3G29771.1	885
AT3G29772.1	1222
AT3G29773	3455
AT3G29774.1	1408
AT3G29775.1	4047
AT3G29776.1	4477
AT3G29777.1	1089
AT3G29778.1	3080
AT3G29779.1	597
AT3G29780	449
AT3G29781.1	1864
AT3G29782.1	4131
AT3G29783.1	4070
AT3G29784.1	1009
AT3G29785	330
AT3G29786.1	588
AT3G29787.1	928
AT3G29788	758
AT3G29789	330
AT3G29790	435
AT3G29791	378
AT3G29792.1	4506
AT3G29796	1392
AT3G29797	471
AT3G29798.1	385
AT3G29800	1323
AT3G29805.1	622
AT3G29810	1506
AT3G29820.1	1509
AT3G29830	1395
AT3G29970	441
AT3G30110	1772
AT3G30120	4481
AT3G30122	2368
AT3G30145.1	5111
AT3G30147	942
AT3G30150.1	555
AT3G30160	838
AT3G30170.1	3315
AT3G30180	1784
AT3G30183.1	1260
AT3G30187	879
AT3G30190.1	792
AT3G30200	1533
AT3G30210	1224
AT3G30211.1	4059
AT3G30212.1	1437
AT3G30213.1	2783
AT3G30214	867
AT3G30216.1	607
AT3G30218.1	3489
AT3G30219.1	5213
AT3G30220	438
AT3G30222	276
AT3G30230	1584
AT3G30235	507
AT3G30240.1	570
AT3G30245	249
AT3G30247	537
AT3G30250.1	582
AT3G30260	750
AT3G30280	1332
AT3G30281	919
AT3G30290	1227
AT3G30300	2486
